station,month,monthly_max,monthly_min,monthly_mean
Rowson Lake,07,28,10,18.206451612903226
Rowson Lake,08,28,7,16.51290322580645
Rowson Lake,05,24,-2.5,11.274193548387096
Rowson Lake,06,24,6,16.710714285714285
Rowson Lake,09,23.5,-3,9.686666666666667
Rowson Lake,04,15.5,-20.5,-3.006666666666667
Rowson Lake,10,12,-6,1.1387096774193548
Rowson Lake,12,5,-25.5,-10.858064516129032
Rowson Lake,03,3,-21,-6.316129032258065
Rowson Lake,11,1.5,-21,-8.456666666666667
Rowson Lake,01,-1.5,-34,-16.258064516129032
Rowson Lake,02,-2,-34.5,-18.064285714285713
